no,business-name,track-visit-website href,phones,locality,street-address,distance
169,Radisson,http://www.radisson.com/,(305) 577-4321,"Miami, FL 33126",5201 Blue Lagoon Dr Ste 710,14.6 miles
170,Palmeiras Beach Club at Grove Isle,http://www.palmeirasbeachclub.com/,(305) 858-8300,"Miami, FL 33133",4 Grove Isle Dr,14.9 miles
171,Four Points by Sheraton Miami Airport,https://www.marriott.com/hotels/travel/miafa-four-points-miami-airport/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 351-5730,"Miami, FL 33122",3570 NW 74th Ave,15 miles
172,Airport Regency Hotel,https://www.eventective.com/miami-fl/airport-regency-hotel-1957.html,(305) 441-1600,"Miami, FL 33126",1000 NW 42nd Ave,15 miles
173,Aloft Miami Airport,https://www.marriott.com/hotels/travel/miala-aloft-miami-airport/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(786) 866-0600,"Miami, FL 33166",7220 NW 36th St,15.1 miles
174,TownePlace Suites by Marriott Miami Airport,https://www.marriott.com/hotels/travel/miasa-towneplace-suites-miami-airport/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 779-0900,"Miami, FL 33126",4021 NW 11th St,15.2 miles
175,Residence Inn by Marriott,http://www.marriott.com/hotels/travel/miaas-residence-inn-miami-airport,(305) 642-8570,"Miami, FL 33126",1201 NW 42nd Ave,15.3 miles
176,Residence Inn by Marriott,http://www.marriott.com/residence-inn/travel.mi,(305) 604-6069,"Miami, FL 33145",1231 SW 17th St,15.9 miles
177,Royal Elite Vacation Club,http://www.royalelite.com/,(305) 496-5996,"Miami, FL 33125",831 NW 28th Ave,16 miles
178,America's Best Inns & Suites,http://www.americasbestinns.com/,(305) 592-5440,"Miami, FL 33166",7330 NW 36th Street Ext,16 miles
179,American Luxury Auto Rental,http://www.americanluxuryautorental.com/,(305) 871-7700,"Miami, FL 33142",4120 NW 26th St,16.1 miles
180,Hampton Inn Miami Airport East,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAAEHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAAEHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(786) 801-3136,"Miami, FL 33142",3449 NW 42nd Ave,16.4 miles
181,Hyatt Place Miami Airport East,,(305) 667-1003,"Miami, FL 33142",3549 NW 42nd Ave,16.5 miles
182,Roads End Village,,(305) 250-5640,"Miami, FL 33129",927 SW 11th St,16.5 miles
183,Brickell Suites,,(786) 615-2328,"Miami, FL 33130",717 SW 11th Ave,16.5 miles
184,Radisson RED Miami Airport,https://www.radissonhotels.com/en-us/hotels/radisson-red-miami-airport?cid=a:se+b:yex+c:amer+i:local+e:rdr+d:us+f:en-US+h:USAMAPF,(305) 260-3514,"Miami, FL 33142",3401 NW 25th St,16.5 miles
185,Villa Aurora,,(305) 649-2499,"Miami, FL 33135",1398 SW 1st St Ste 1201,16.5 miles
186,Embassy Suites by Hilton Miami International Airport,http://embassysuites3.hilton.com/en/hotels/florida/embassy-suites-by-hilton-miami-international-airport-MIASPES/index.html,(305) 634-5000,"Miami, FL 33142",3974 NW South River Dr,16.5 miles
187,Jefferson Hotel,,(305) 545-1000,"Miami, FL 33130",528 SW 9th Ave,16.7 miles
188,Homewood Suites by Hilton Miami Downtown/Brickell,http://homewoodsuites3.hilton.com/en/hotels/florida/homewood-suites-by-hilton-miami-downtown-brickell-MIADBHW/index.html,(305) 285-7112,"Miami, FL 33129",1750 SW 1st Ave,16.8 miles
189,Atton Brickell Miami,http://www.attonbrickellmiami.com/,(786) 600-2600,"Miami, FL 33129",1500 SW 1st Ave,16.9 miles
190,Hotel Indigo Miami Brickell,https://www.ihg.com/hotelindigo/hotels/us/en/miami/miani/hoteldetail?,(786) 600-2600,"Miami, FL 33129",1500 SW 1st Ave,16.9 miles
191,Novotel Miami Brickell,https://www.novotelmiami.com/?chebs=local-attonbrickellmiami,(786) 600-2600,"Miami, FL 33129",1500 SW 1st Ave,16.9 miles
192,Big Havana,,(305) 640-5405,"Miami, FL 33130",613 SW 5th Ave,17 miles
193,Churchill Suites Miami Brickell,http://www.churchillsuites.com/,(305) 231-2113,"Miami, FL 33130",1451 S Miami Ave,17.1 miles
194,Dharma Life,,(786) 536-7985,"Miami, FL 33130",1451 S Miami Ave,17.1 miles
195,Aloft Miami - Brickell,https://www.marriott.com/hotels/travel/miaba-aloft-miami-brickell/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 854-6300,"Miami, FL 33130",1001 SW 2nd Ave,17.1 miles
196,Vii Mp Miami Hotel Owner,http://fourseasons.com/,(305) 374-5416,"Miami, FL 33131",1435 Brickell Ave,17.1 miles
197,Fsph 67 Inc,,(305) 374-0099,"Miami, FL 33131",1425 Brickell Ave,17.2 miles
198,Iglesia Soldados De La Cruz De Cristo,,(786) 313-3435,"Miami, FL 33130",637 W Flagler St,17.2 miles
199,Acapulco,,(786) 452-1080,"Miami, FL 33142",1919 NW 20th St,17.2 miles
200,AG Miami Hotel,,(305) 416-7504,"Miami, FL 33131",1395 Brickell Ave,17.2 miles
201,Conrad Hotels & Resort,http://conradhotels1.hilton.com/,(305) 503-6500,"Miami, FL 33131",1395 Brickell Ave Ste 2500,17.2 miles
202,Cary Motel,,(305) 856-1765,"Miami, FL 33130",106 SW 8th St,17.3 miles
203,Hyatt Centric Brickell Miami,http://www.hyatt.com/en-US/hotel/florida/hyatt-centric-brickell-miami/miact,(786) 441-1234,"Miami, FL 33131",1102 Brickell Bay Dr,17.4 miles
204,"EAST, Miami",http://www.east-miami.com/,(305) 712-7000,"Miami, FL 33131",788 Brickell Plz,17.4 miles
205,Gencom,http://www.gencomgrp.com/,(305) 442-9808,"Miami, FL 33131",801 Brickell Ave Ph 2,17.5 miles
206,SpringHill Suites by Marriott Miami Downtown/Medical Center,https://www.marriott.com/hotels/travel/miahd-springhill-suites-miami-downtown-medical-center/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 575-5300,"Miami, FL 33136",1311 NW 10th Ave,17.5 miles
207,Four Ambassador Suites Hotel,http://www.fourambassadors.cc/,(305) 371-6500,"Miami, FL 33131",801 Brickell Bay Dr Ste 5,17.6 miles
208,Alt Miami Inc,,(786) 574-2009,"Miami, FL 33131",495 Brickell Ave,17.7 miles
209,W Miami,https://www.marriott.com/hotels/travel/miawm-w-miami/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 503-4400,"Miami, FL 33131",485 Brickell Ave,17.7 miles
210,"Mandarin Oriental, Miami",https://www.mandarinoriental.com/miami/brickell-key/luxury-hotel?htl=MOMIA&kw=MOMIA&eng=yext&src=local,(305) 913-8288,"Miami, FL 33131",500 Brickell Key Dr,17.8 miles
211,"Hotel Beaux Arts, Autograph Collection",https://www.marriott.com/hotels/travel/miaax-hotel-beaux-arts-autograph-collection/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 421-8700,"Miami, FL 33131","255 Biscayne Boulevard Way, Located Inside Of The Jw Marriott Marquis Miami Tower, 39th Floor",17.8 miles
212,Hotel Astor,https://www.hugedomains.com/domain_profile.cfm?d=thedownstairsmiami&e=com,(305) 531-8081,"Miami, FL 33132",14 NE 1st Ave,17.8 miles
213,Eurostars Langford,http://www.eurostarshotels.com/eurostars-langford/mapa.html,(305) 250-0782,"Miami, FL 33131",121 SE 1st St,17.8 miles
214,The Langford Hotel,http://www.langfordhotelmiami.com/,(305) 420-2000,"Miami, FL 33131",121 SE 1st St,17.8 miles
215,Allegro's,,(305) 374-3000,"Miami, FL 33131",200 SE 2nd Ave,17.8 miles
216,Ramada Inn,http://www.ramada.com/,(305) 539-8034,"Miami, FL 33131",300 Biscayne Boulevard Way,17.8 miles
217,LTD Mdm Residences,,(786) 623-5270,"Miami, FL 33131",300 Biscayne Boulevard Way,17.8 miles
218,Met II Hotel,,(305) 350-0745,"Miami, FL 33131",255 SE 2nd St,17.9 miles
219,The Dunns Josephine Hotel,,(305) 379-1113,"Miami, FL 33136",1028 NW 3rd Ave,17.9 miles
220,Mas Hospitality Miami,,(786) 717-6720,"Miami, FL 33131",195 SE 3rd Ave,17.9 miles
221,Yve Hotel Miami,,(305) 358-4555,"Miami, FL 33132",146 Biscayne Blvd,18.1 miles
222,Hst Downtown Miami,,(305) 373-9395,"Miami, FL 33132",146 Biscayne Blvd,18.1 miles
223,Best Western,http://www.bestwestern.com/,(305) 374-4599,"Miami, FL 33132",50 NE 9th St,18.1 miles
224,Interamerican Hotels Corp,,(305) 358-0661,"Miami, FL 33132",270 NE 4th St,18.1 miles
225,Broadmoor Miami Beach,,(305) 865-1631,"Miami, FL 33136",1035 N Miami Ave Ste 20,18.2 miles
226,Crossway Airport Inn,http://www.marriott.com/hotels/travel/miaas-residence-inn-miami-airport,(305) 871-4350,"Miami, FL 33142",1850 NW 42nd St,18.2 miles
227,Prestigious Life Style Tours,,(954) 825-6348,"Miami, FL 33132",990 Biscayne Blvd Ste 501,18.4 miles
228,Regency Hotel Miami,http://regencyhotelmiami.com/,(305) 441-1600,"Miami, FL 33126",1000 NW 42nd Ave,15 miles
229,La Quinta,http://www.laquinta.com/,(305) 871-1777,"Miami, FL 33142",3501 NW 42nd Ave,16.4 miles
230,Shamrock By The Gables,http://www.shamrockcorp.com/gables.htm,(305) 529-4555,"Miami, FL 33145",2280 SW 32nd Ave,14.1 miles
231,Chateaubleau Hotel,http://www.hotelchateaubleau.com/,(305) 448-2634,"Coral Gables, FL 33134",1111 Ponce De Leon Blvd,14.2 miles
232,Avalon Motel,http://avaloninnovations.com/,(305) 445-9002,"Coral Gables, FL 33134",4871 W Flagler St,14.1 miles
233,TravelUP,http://www.travelplan.us/,(646) 844-9197,"Coral Gables, FL 33134",999 Ponce De Leon Blvd Ste 625,14.3 miles
234,"Hotel Colonnade Coral Gables, a Tribute Portfolio Hotel",http://www.hotelcolonnade.com/,(305) 441-2600,"Coral Gables, FL 33134",180 Aragon Ave,13.7 miles
235,Biltmore Hotel Miami Coral Gables,https://www.biltmorehotel.com/,(855) 311-6903,"Coral Gables, FL 33134",1200 Anastasia Ave,12.3 miles
236,Wander Pr,http://wanderpr.com/,(786) 534-6759,"Coral Gables, FL 33134",1200 Anastasia Ave,12.3 miles
237,The Biltmore Hotel,http://www.biltmorehotel.com/dining/brunch.php,(305) 913-3200,"Coral Gables, FL 33134",1200 Anastasia Ave,12.3 miles
238,Nuvo Suites,http://www.nuvosuites.com/,(786) 472-9095,"Sweetwater, FL 33172",1750 NW 107th Ave,12.8 miles
239,Es Hospitality,https://nuvosuites.com/,(786) 472-9095,"Sweetwater, FL 33172",1750 NW 107th Ave,12.8 miles
240,DoubleTree By Hilton Miami Doral,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIADRDT_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIADRDT%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 639-9555,"Doral, FL 33172",10250 NW 19th St,13 miles
241,Doral Inn and Suites,http://www.doralinnandsuites.com/,(305) 629-8755,"Doral, FL 33126",1212 NW 82nd Ave,13.1 miles
242,Sofitel Hotel,http://www.sofitel.com/,(786) 536-5728,"Doral, FL 33172",2335 NW 107th Ave,13.2 miles
243,Regency Coral Gables,https://www.hyatt.com/en-US/hotel/florida/hyatt-regency-coral-gables/coral,(786) 534-8008,"Coral Gables, FL 33134",2990 Ponce De Leon Blvd,13.4 miles
244,Almar Hotel Corp.,,(305) 261-4230,"Doral, FL 33126",7250 NW 11th St,13.4 miles
245,Khr Reservation Services,,(305) 599-8988,"Doral, FL 33126",8021 NW 14th St,13.4 miles
246,Hyatt Corporation,http://hyatt.com/,(305) 446-1209,"Coral Gables, FL 33134",396 Alhambra Cir,13.5 miles
247,Astor Almeria,http://www.astorcompanies.com/,(305) 443-3943,"Coral Gables, FL 33134",21 Almeria Ave,13.7 miles
248,Driftwood Hospitality Man,http://www.driftwoodhospitality.com/,(786) 615-4273,"Coral Gables, FL 33134",255 Alhambra Cir,13.7 miles
249,Hotel St Michel,,(305) 444-1666,"Coral Gables, FL 33134",162 Alcazar Ave,13.8 miles
250,Wishes Hotel Coral Gables,,(305) 445-5453,"Coral Gables, FL 33134",4700 SW 8th St,13.8 miles
251,Villa Cortez Motel,http://fl-motels-review.com/,(305) 445-5453,"Coral Gables, FL 33134",4700 SW 8th St,13.8 miles
252,Nine Zero,,(305) 448-5639,"Coral Gables, FL 33134",55 Merrick Way Ste 402,13.8 miles
253,G G Motel,,(305) 443-2868,"Coral Gables, FL 33134",5121 W Flagler St,14 miles
254,Best Western Premier Miami Intl Airport Hotel & Suites Coral Gables,http://www.citysearch.com/profile/615757314/coral_gables_fl/best_western_premier.html,(305) 774-6100,"Coral Gables, FL 33134",4100 W Flagler St,14.5 miles
255,Ernesto Motel,,(305) 541-6508,"Coral Gables, FL 33134",4001 W Flagler St,14.6 miles
256,Starlite Hotel Apts,,(305) 534-2161,"Key Biscayne, FL 33149",750 Ocean Dr,16.6 miles
257,Sonesta Intl Hotels Corporation,http://keybiscaynecondos.com/,(305) 365-0511,"Key Biscayne, FL 33149",260 Crandon Blvd Ste 52,16.6 miles
258,R D W Key Biscayne,,(786) 534-6220,"Key Biscayne, FL 33149",285 Sunrise Dr,16.6 miles
259,Lightkeepers,http://www.ritzcarlton.com/en/hotels/miami/key-biscayne/dining/lightkeepers/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 365-4156,"Key Biscayne, FL 33149",455 Grand Bay Dr,16.7 miles
260,G B Hotel Partners,,(305) 361-7163,"Key Biscayne, FL 33149",455 Grand Bay Dr,16.7 miles
261,Marriott South Beach,http://www.marriotthotels.com/,(305) 536-7700,"Key Biscayne, FL 33149",161 Ocean Lane Dr,16.9 miles
262,Silver Sands Beach Resort,http://www.silversandsbeachresort.net/,(305) 361-5441,"Key Biscayne, FL 33149",301 Ocean Dr,16.9 miles
263,Ramada Inn,http://www.ramada.com/,(305) 247-8833,"Homestead, FL 33034",124 E Palm Dr,11.7 miles
264,Travelodge,http://www.travelodge.com/,(786) 349-4256,"Homestead, FL 33034",413 SE 1st Ave,12.1 miles
265,Best Western-Gateways,http://www.bestwestern.com/,(305) 247-0079,"Homestead, FL 33034",1 Strano Blvd,12.2 miles
266,Hampton Inn,http://www.hamptoninn.com/,(305) 247-6376,"Homestead, FL 33034",124 E Palm Dr,11.7 miles
267,Fairway Inn Florida City,http://www.fairwayinnfl.com/,(305) 248-4202,"Homestead, FL 33034",100 SE 1st Ave,11.9 miles
268,Mayfair Hotel & Spa,http://www.mayfairhotelandspa.com/,(305) 441-0000,"Miami, FL 33133",3000 Florida Ave,13.4 miles
269,Courtyard by Marriott Miami Coral Gables,https://www.marriott.com/hotels/travel/miagb-courtyard-miami-coral-gables/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 443-2301,"Miami, FL 33134",2051 S Le Jeune Rd,13.7 miles
270,StudioPlus,http://www.studioplus.com/,(305) 716-9005,"Miami, FL 33122",7750 NW 25th St,14.1 miles
271,Airport Villas,http://miaairportvillas.com/,(786) 334-6500,"Miami, FL 33126",4325 NW South Tamiami Canal Dr,15.4 miles
272,DoubleTree by Hilton Hotel Miami Airport & Convention Center,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAMADT_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAMADT%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 261-3800,"Miami, FL 33126",711 NW 72nd Ave,13.3 miles
273,Courtyard by Marriott Miami Coconut Grove,https://www.marriott.com/hotels/travel/miagv-courtyard-miami-coconut-grove/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 858-2500,"Miami, FL 33133",2649 S Bayshore Dr,13.8 miles
274,Courtyard by Marriott Miami at Dolphin Mall,https://www.marriott.com/hotels/travel/miadm-courtyard-miami-at-dolphin-mall/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 994-9343,"Miami, FL 33172",11275 NW 12th St,12.3 miles
275,Travelitout Inc,http://www.travelitout.com/,(786) 505-0688,"Miami, FL 33126",415 NW 85th Pl Apt 8,12.4 miles
276,The Ritz-Carlton,http://www.ritzcarlton.com/en/Default.htm,(786) 470-3400,"Miami, FL 33133",2700 Tigertail Ave,13.7 miles
277,123 Vacations,,(786) 517-5345,"Miami, FL 33122",2500 NW 79th Ave Ste 103,14.1 miles
278,Be Live Hotels,,(305) 264-1240,"Miami, FL 33126",5775 Blue Lagoon Dr,14.2 miles
279,Element by Westin,http://www.starwoodhotels.com/element,(786) 507-7380,"Miami, FL 33122",3399 NW 72nd Ave Ste 205B,15 miles
280,Hilton Garden Inn,http://hiltongardeninn1.hilton.com/,(305) 716-9800,"Miami, FL 33166",7220 NW 36th St,15.1 miles
281,La Quinta,http://www.laquinta.com/,(305) 599-9902,"Miami, FL 33166",7401 NW 36th St,15.1 miles
282,Miami Hostels,,(305) 905-9695,"Miami, FL 33142",3525 NW 25th St,16.4 miles
283,Interamerican Hotels Corp,http://www.soundhospitality.com/,(305) 448-2488,"Miami, FL 33146",3850 Bird Rd Ste 302,13 miles
284,The Mutiny Hotel,https://www.providentresorts.com/mutiny-hotel,(305) 441-2100,"Miami, FL 33133",2951 S Bayshore Dr,13.4 miles
285,Residence Inn by Marriott Miami Coconut Grove,https://www.marriott.com/hotels/travel/miaco-residence-inn-miami-coconut-grove/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 285-9303,"Miami, FL 33133",2835 Tigertail Ave,13.6 miles
286,Homewood Suites by Hilton Miami-Airport/Blue Lagoon,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIABLHW_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIABLHW%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 261-3335,"Miami, FL 33126",5500 Blue Lagoon Dr,14.3 miles
287,Hilton Hotels & Resorts,http://www1.hilton.com/,(305) 444-3444,"Miami, FL 33126",5201 Blue Lagoon Dr Ste 600,14.6 miles
288,Hilton Garden Inn Miami Airport West,http://www3.hilton.com/,(305) 629-7701,"Miami, FL 33122",3550 NW 74th Ave,14.9 miles
289,Vacaciones Laguna Suite,http://www.vacacioneslagunasuite.com/,(888) 391-5002,"Miami, FL 33135",1250 SW 27th Ave Ste 502,15 miles
290,Sheraton Miami Airport Hotel & Executive Meeting Center,https://www.marriott.com/hotels/travel/miaes-sheraton-miami-airport-hotel-and-executive-meeting-center/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 871-3800,"Miami, FL 33142",3900 NW 21st St,15.9 miles
291,Element Miami International Airport,https://www.marriott.com/hotels/travel/miael-element-miami-international-airport/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 636-1600,"Miami, FL 33142",3525 NW 25th St,16.4 miles
292,Hyatt Hotels & Resorts,,(305) 374-3850,"Miami, FL 33131",400 SE 2nd Ave,17.7 miles
293,Hyatt Regency Miami,https://miami.regency.hyatt.com/en/hotel/home.html,(305) 358-1234,"Miami, FL 33131",400 SE 2nd Ave,17.7 miles
294,Fairfield Inn & Suites by Marriott Miami Airport South,https://www.marriott.com/hotels/travel/miapt-fairfield-inn-and-suites-miami-airport-south/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(786) 456-2100,"Miami, FL 33126",4101 NW 11th St,15.2 miles
295,Fairfield Inn & Suites,http://www.fairfieldinn.com/,(305) 643-0055,"Miami, FL 33126",1201 NW 42nd Ave,15.3 miles
296,Lees Custom Keys,,(786) 522-1391,"Miami, FL 33129",1751 SW 3rd Ave,16.8 miles
297,Alliance Hotel & Reservation,,(786) 265-3263,"Miami, FL 33101",Miami 33101,17.7 miles
298,ATM Operations,,(305) 305-9119,"Miami, FL 33131",100 SE 4th St,17.7 miles
299,Hotel Beds USA,,(786) 220-6571,"Miami, FL 33132",900 Biscayne Blvd,18.3 miles
300,L T Hotels,,(305) 443-5941,"Coral Gables, FL 33134",2600 S Douglas Rd,13.7 miles
301,Ei At Doral Eurosuites,http://eurossuites.com/,(305) 477-9782,"Sweetwater, FL 33172",1750 NW 107th Ave,12.8 miles
302,Oasis Hotels,,(786) 245-4757,"Coral Gables, FL 33134",999 Ponce De Leon Blvd,14.3 miles
303,Chateaubleau Inc,http://hotelchateaubleau.com/,(305) 448-2634,"Coral Gables, FL 33134",1111 Ponce De Leon Blvd,14.2 miles
304,Be Live Hotels,,(305) 442-9206,"Coral Gables, FL 33134",999 Ponce De Leon Blvd,14.3 miles
305,The Ritz-Carlton,http://www.ritzcarlton.com/en/Default.htm,(305) 446-0776,"Coral Gables, FL 33134",800 S Douglas Rd,14.4 miles
306,Barlington Hotel,,(305) 649-9965,"Miami, FL 33125",1350 NW 2nd St,16.7 miles
307,Springhill Suites Miami,http://www.miamispringhillsuites.com/,(305) 265-0144,"Miami, FL 33126",6700 NW 7th St,13.3 miles
308,Hampton Inn,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAHSHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAHSHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 262-5400,"Miami, FL 33126",777 NW 57th Ave,14.1 miles
309,Opera Suites And Marina,http://operasuitesandmarina.com/,(305) 374-4449,"Miami, FL 33128",NW 1st St,15.1 miles
310,World Hotels,http://oneworldcreative.com/,(305) 285-2400,"Miami, FL 33145",1770 SW 21st St,15.3 miles
311,Hampton Inn & Suites by Hilton Miami Brickell Downtown,http://hamptoninnmiamibrickell.com/,(305) 377-9400,"Miami, FL 33130",50 SW 12th St,17.2 miles
312,Courtyard by Marriott Miami Downtown/Brickell Area,https://www.marriott.com/hotels/travel/miadt-courtyard-miami-downtown-brickell-area/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 374-3000,"Miami, FL 33131",200 SE 2nd Ave,17.8 miles
313,Homewood Suites by Hilton Miami - Airport West,https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MIAWTHW_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMIAWTHW%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,(305) 629-7831,"Miami, FL 33122",3590 NW 74th Ave,15 miles
314,Summerfield Suites,http://hyatt.com/,(305) 269-0238,"Miami, FL 33126",5710 Blue Lagoon Dr,14.1 miles
315,Leamington Hotel,http://www.leamingtonhotel.com/,(305) 373-7783,"Miami, FL 33132",307 NE 1st St,18 miles
316,Miami International Airport Hotel,http://miahotel.com/,(305) 871-4100,"Miami, FL 33122",NW 20th Street LeJeune Road,15.6 miles
317,Four Seasons,http://www.fourseasons.com/,(305) 358-3535,"Miami, FL 33131",1435 Brickell Ave,17.1 miles
318,Fortune House Hotel,http://www.fortunehousehotel.com/,(305) 349-5200,"Miami, FL 33131",185 SE 14th Ter Ste 102,17.2 miles
319,Courtyard by Marriott Miami Airport,https://www.marriott.com/hotels/travel/miacs-courtyard-miami-airport/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 642-8200,"Miami, FL 33126",1201 NW 42nd Ave,15.3 miles
320,Homestead Studio Suites,http://www.homesteadhotels.com/,(305) 260-0085,"Miami, FL 33126",6605 NW 7th St,13.5 miles
321,JW Marriott Marquis Miami,http://www.marriotthotels.com/,(305) 421-8600,"Miami, FL 33131",345 SE 2nd Ave,17.8 miles
322,Disole Hotel,,(305) 661-7999,"Coral Gables, FL 33146",730 S Dixie Hwy,11.9 miles
323,Executive Tropic Garden Hotel,http://www.executivefantasyhotels.com/,(305) 267-4490,"Miami, FL 33144",6925 SW 8th St,12.5 miles
324,Hampton Inn Miami-Coconut Grove/Coral Gables,http://hamptoninncoconutgrove.com/,(305) 448-2800,"Miami, FL 33133",2800 SW 28th Ter,14 miles
325,Sonesta Bayfront Hotel Coconut Grove,http://www.sonesta.com/coconutgrove,(305) 529-2828,"Miami, FL 33133",2889 Mcfarlane Rd,13.4 miles
326,El Palacio Resort Hotel & Suites,,(305) 624-8401,"Miami, FL 33169",16805 NW 12th Ave,25.1 miles
327,Holiday Inn Miami West - Airport Area,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miahg&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIAHG&glat=MEDI,(800) 345-8082,"Hialeah, FL 33016",7707 NW 103rd St,18.7 miles
328,Holiday Inn Miami Beach-Oceanfront,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=miamb&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-hi-_-MIAMB&glat=MEDI,(800) 345-8082,"Miami Beach, FL 33140",4333 Collins Ave,23 miles
329,Holiday Inn Express & Suites Miami-Hialeah (Miami Lakes),https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=miaml&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-ex-_-MIAML&glat=MEDI,(800) 345-8082,"Hialeah, FL 33016",6650 W 20th Ave,19.7 miles
330,Crowne Plaza South Beach - Z Ocean Hotel,https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=miasb&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-yellowpages-_-cp-_-MIASB&glat=MEDI,(877) 874-6541,"Miami Beach, FL 33139",1437 Collins Ave,21.4 miles
331,Sun and Surf Inn,http://knightsinnmiami.com/,(305) 893-4540,"Miami, FL 33181",11102 Biscayne Blvd,24 miles
332,Motel Bianco,http://www.knightsinn.com/,(305) 751-8696,"Miami, FL 33137",5255 Biscayne Blvd,20.5 miles
333,Catch Grill & Bar,http://www.marriott.com/hotel-restaurants/miabb-miami-marriott-biscayne-bay/catch-grill-&-bar/5164555/home-page.mi?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(305) 536-6414,"Miami, FL 33132",1633 N Bayshore Dr,18.8 miles
334,Opera Suites & Marina,http://www.getaroom.com/,(305) 374-4449,"Miami, FL 33132",1750 N Bayshore Dr,18.9 miles
335,Epoque Hotels,,(305) 573-5773,"Miami, FL 33137",350 NE 24th St Ste 104,19.2 miles
336,Picasso Tower Inc,http://www.americanhomeguides.com/,(305) 573-0250,"Miami, FL 33137",2800 Biscayne Blvd,19.3 miles
337,Samda,,(305) 438-2887,"Miami, FL 33137",2800 Biscayne Blvd Ste 300,19.3 miles
338,AC Hotel by Marriott Miami Midtown,https://www.marriott.com/hotels/travel/miaaw-ac-hotel-miami-midtown/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe,(786) 209-0005,"Miami, FL 33137",3400 Biscayne Blvd,19.5 miles
